ID,RefID,Amount,Currency,Date,Description
BK-1,REF-0001,48.98,INR,2023-10-01T12:00:00Z,Credit
BK-2,REF-0002,52.33,INR,2023-10-04T12:00:00Z,Credit
BK-3,REF-0003,48.90,INR,2023-10-03T12:00:00Z,Credit
BK-4,REF-0004,102.51,INR,2023-10-04T12:00:00Z,Credit
BK-5,REF-0005,103.79,INR,2023-10-05T12:00:00Z,Credit
BK-6,REF-0006,98.57,INR,2023-10-06T12:00:00Z,Credit
BK-7,REF-0007,62.41,INR,2023-10-07T12:00:00Z,Credit
BK-8,REF-0008,27.47,INR,2023-10-08T12:00:00Z,Credit
BK-9,REF-0009,53.62,INR,2023-10-11T12:00:00Z,Credit
BK-10,REF-0010,98.99,INR,2023-10-10T12:00:00Z,Credit
BK-11,REF-0011,56.42,INR,2023-10-11T12:00:00Z,Credit
BK-12,REF-0012,93.45,INR,2023-10-12T12:00:00Z,Credit
BK-13,REF-0013,18.92,INR,2023-10-13T12:00:00Z,Credit
BK-14,REF-0014,32.53,INR,2023-10-14T12:00:00Z,Credit
BK-15,REF-0015,70.25,INR,2023-10-15T12:00:00Z,Credit
BK-16,REF-0016,19.50,INR,2023-10-16T12:00:00Z,Credit
BK-17,REF-0017,105.77,INR,2023-10-17T12:00:00Z,Credit
BK-18,REF-0018,37.51,INR,2023-10-18T12:00:00Z,Credit
BK-19,REF-0019,15.29,INR,2023-10-19T12:00:00Z,Credit
BK-20,REF-0020,29.03,INR,2023-10-20T12:00:00Z,Credit
BK-22,REF-0022,80.96,INR,2023-10-22T12:00:00Z,Credit
BK-23,REF-0023,73.02,INR,2023-10-23T12:00:00Z,Credit
BK-24,REF-0024,23.05,INR,2023-10-24T12:00:00Z,Credit
BK-25,REF-0025,50.23,INR,2023-10-25T12:00:00Z,Credit
